"JID","annotation_priority","contract_price_selected","contract_score","delay_days_selected","delay_score","claimed_penalty_selected","claimed_score","allowed_penalty_selected","allowed_score","is_reduced","ratio_valid"
"KSDV,110,建,54,20240516,1","","78750000","20","30","12","7500000","15","7500000","27","0","1"
"TNHV,113,上,249,20250227,1","","","","5","12","3828322","21","","","1","0"
"TCHV,108,建上更一,79,20210407,2","","41445591","15","23","7","17419430","6","11451345","27","1","1"
"TNHV,111,建上,4,20220531,1","","5950000","15","239","7","1692861","15","1692861","27","0","1"
"TPSV,110,台上,2370,20220804,1","","39359402","12","13","13","38558835","15","4495530","27","1","1"
"TCDV,111,訴,384,20230526,1","","1737015","0","10","18","1737015","6","1100043","22","1","1"
"TNHV,111,建上,29,20231221,1","","","","400","12","","","","","1","0"
"TCHV,110,建上,1,20240424,1","","8505000","5","22","13","3569022","15","2791381","22","1","1"
"TPHV,113,建上,23,20250305,1","","9918710","20","678","12","5031762","21","1983742","27","1","1"
"TCDV,111,建,139,20260213,3","","2309815","0","154","7","539000","21","115491","22","1","1"
"SCDV,107,建,71,20220630,2","","7359000","20","417","7","7359000","15","7359000","27","0","1"
"TPDV,110,建,4,20221031,3","","300000","5","194","7","12500000","21","3741943","22","1","1"
"CTDV,110,訴,748,20230629,2","","9980000","20","63","12","1550763","21","500000","27","1","1"
"CYDV,113,建,16,20250815,1","","3671850","20","27","7","781243","21","781243","27","0","1"
"TPHV,109,重上,368,20220422,1","","28805605","20","26","7","54673500","21","1134000","22","1","1"
"CYDV,113,建,27,20260324,2","","18810225","5","1","10","942637","21","282791","27","1","1"
"TYDV,109,建,72,20220331,1","","6035200","7","15","13","32800000","21","984000","27","1","1"
"TCDV,108,建,37,20220819,1","","1069708","20","303","12","13969840","21","13969840","27","0","1"
"TCDV,112,重訴,486,20240403,2","","","","51","12","12600000","21","12600000","27","0","1"
"KMHV,114,建上,1,20250729,1","","8300000","7","165","7","3699000","21","1721150","22","1","1"
"CHDV,111,建,16,20230531,1","","32821097","0","104","7","896000","7","896000","27","0","1"
"TPDV,108,建,224,20220324,3","","10920000","20","19","7","12699744","21","11720160","27","1","1"
"TPHV,109,重上,532,20220510,2","","42594059","20","28","7","8518812","21","4259406","27","1","1"
"KSHV,106,建上更(一),2,20230524,3","","22420500","15","101","13","5912500","21","1701900","27","1","1"
"TPDV,109,建,333,20230518,1","","7384537","5","150","7","11530965","6","189000","22","1","1"
"TPDV,112,建,33,20231211,1","","2615000","20","1","11","2615000","15","941400","19","1","1"
"TNHV,111,上,114,20240131,1","","","","240","12","55000","15","1000","27","1","1"
"TPHV,111,重上更一,160,20240924,3","","50949500","0","30","7","13370431","21","13370431","27","0","1"
"TPHV,111,上易,930,20241119,1","","1567250","0","302","7","1650000","21","107250","27","1","1"
"KSDV,111,訴,1470,20251126,2","","12380362","20","31","13","1411823","21","1411823","27","0","1"
"ULDV,113,訴,814,20251209,2","","1052635","20","8","12","1052635","21","1052635","27","0","1"
"TCDV,113,建,11,20260318,2","","13267800","12","47","6","13267800","21","13267800","27","0","1"
"CYDV,110,建,32,20211124,1","","317943","12","16","18","317943","15","199086","22","1","1"
"TCDV,113,建,76,20250421,1","","","","1","5","8400000","21","7576800","27","1","1"
"TPSV,114,台上,309,20250605,1","","4072731","-8","66","18","59207232","21","59207232","27","0","1"
"KSHV,112,上易,229,20240124,1","","9980000","20","63","12","1550763","21","500000","27","1","1"
"TPDV,112,建,340,20241024,1","","676523","0","134","7","720000","21","676523","22","1","1"
"PCDV,108,重訴,559,20250718,1","","99532100","20","272","12","13847965","21","299998","22","1","1"
"PCDV,109,建,8,20251211,2","","66751966","15","251","7","6534933","6","6361013","22","1","1"
"TPDV,111,建,207,20230512,1","","72200000","20","19","13","41643750","21","3184976","22","1","1"
"KSDV,111,建,54,20240419,1","","2000","20","100","12","1808410","15","1707250","27","1","1"
"PCDV,107,重訴,859,20210331,1","","","","5","12","2348000","21","2348000","27","0","1"
"KSDV,108,建,75,20230220,1","","95000000","0","241","13","19100000","21","15054591","22","1","1"
"TPHV,110,重上,501,20230711,1","","","","996","7","6565000","21","5647500","27","1","1"
"TYDV,113,重訴,220,20250221,2","","","","","","13000000","21","13000000","27","0","1"
"TPHV,114,上,516,20260311,1","","3531344","20","1","10","3245000","21","1540409","27","1","1"
"TPSV,110,台上,3186,20211229,1","","10557932","-3","89","18","89935478","15","1691","22","1","1"
"PCDV,111,訴,2144,20230428,1","","10546052","20","64","1","10266229","15","709354","27","1","1"
"TPHV,113,上易,48,20240529,1","","","","93","12","717484","13","717484","14","0","1"
"NTDV,113,建,13,20250217,2","","1620000","20","7","12","1800000","21","1304247","14","1","1"
"PCDV,109,建,46,20210520,1","","","","","","54852132","-2","","","1","0"
"PTDV,110,建,27,20230816,2","","6872000","0","15","12","10308000","21","6872000","27","1","1"
"TCDV,112,建,76,20250121,2","","25373631","0","15","7","2369421","21","1130525","27","1","1"
"TPDV,113,建,265,20250306,1","","52441862","0","25","7","4346862","21","4346862","27","0","1"
"HLDV,110,建,8,20220607,2","","11051519","20","30","18","833820","21","833820","27","0","1"
"NTDV,110,建,1,20220802,1","","16129600","15","31","13","4516288","21","1500000","27","1","1"
"TPDV,112,建,55,20231027,1","","22003745","12","12","13","22003745","21","4840962","22","1","1"
"TPSV,112,台上,1671,20240828,1","","4247965","12","269","13","62693","21","62693","27","0","1"
"TYDV,108,建,79,20241227,3","","9665700","15","25","13","10868000","21","8800000","27","1","1"
"TPDV,108,建,410,20210531,1","","48831116","5","238","18","48831116","15","7810570","22","1","1"
"SCDV,106,建,6,20220831,1","","164000","12","162","18","699232","15","145813","27","1","1"
"TCDV,113,建,69,20251219,1","","39303758","20","15","12","3773184","15","3773184","27","0","1"
"TPDV,113,建,160,20260427,1","","1882320","20","31","13","6535820","21","1787500","27","1","1"
"SLDV,108,建,64,20210310,1","","65806485","5","62","18","2583616","21","2583616","27","0","1"
"TNDV,113,建,78,20250331,1","","9669207","20","1","10","9669207","21","9669207","27","0","1"
"TPDV,109,建,311,20230621,1","","9765000","5","30","13","6884007","6","4950303","27","1","1"
"TYDV,107,建,102,20230731,1","","22410000","0","30","13","12533000","15","918810","22","1","1"
"TPHV,110,上易,743,20211110,1","","806593","20","","","264958","21","264958","27","0","1"
"TPHV,110,建上更一,11,20220325,1","","58307949","0","","","2838146","15","1500000","27","1","1"
"TPHV,109,建上,108,20230718,1","","695173","12","22","1","52582386","6","23767764","27","1","1"
"TCDV,113,建,56,20250313,1","","1000000","12","66","12","1019500","21","1000000","27","1","1"
"TPDV,114,建,167,20260424,1","","6700000","20","19","13","6666500","15","5972900","22","1","1"
"TPHV,107,建上,21,20210310,1","","27163542","0","36","13","2689200","21","951782","22","1","1"
"TPDV,109,建,175,20210430,1","","86400","5","21","7","542888","15","280000","27","1","1"
"TPSV,109,台上,2181,20230105,1","","","","","","492568","15","","","1","0"
"KLDV,113,訴,460,20250225,1","","","","1","-7","1000000","21","1000000","27","0","1"
"TCDV,110,建,152,20230414,1","","","","2","10","1425900","21","712950","22","1","1"
"KSDV,110,建,19,20240425,1","","3825570","20","30","6","765114","21","765114","27","0","1"
"TCDV,111,訴,135,20240930,1","","5339250","12","8","12","5339250","21","5339250","27","0","1"
"MLDV,111,建,15,20250820,4","","30560895","5","8","12","70000","15","70000","27","0","1"
"TYDV,109,建,31,20210108,1","","","","","","","","","","1","0"
"TYDV,108,建,124,20220513,1","","49676980","20","200","7","5325544","21","5325543","27","1","1"
"TPSV,112,台上,33,20250122,1","","78197142","20","40","6","43726430","21","43726430","27","0","1"
"CHDV,113,建,12,20250529,3","","11658000","20","7","13","11658000","15","1201191","14","1","1"
"KSHV,114,上易,18,20260318,8","","1125000","-3","234","7","2350837","21","2350837","27","0","1"
"TPSV,109,台上,1442,20210415,1","","64720000","0","145","6","6472000","21","","","1","0"
"TCDV,107,建,79,20220708,2","","54770000","20","269","13","54770000","15","835133","27","1","1"
"TNDV,114,建,2,20260331,1","","","","10","13","1831014","21","27000","22","1","1"
"SCDV,108,建,12,20210310,1","","5000000","20","117","12","660000","21","598918","22","1","1"
"TPDV,110,建,294,20220819,1","","1723716","20","149","7","1723716","21","1723716","22","0","1"
"TCHV,111,建上更一,67,20230503,1","","89565988","0","29","7","89565988","15","89565988","27","0","1"
"TYDV,112,建,36,20231229,1","","2184000","12","84","7","26000000","15","6546434","14","1","1"
"TPHV,112,重上更一,73,20240813,2","","54673500","20","26","12","5686044","21","464625","27","1","1"
"TCDV,113,建,110,20251121,1","","5230500","0","23","7","5230500","15","5230500","14","0","1"
"TPHV,111,建上,23,20260127,1","","26191600","5","17","13","61965607","21","51892672","27","1","1"
"TYDV,107,建,47,20221031,1","","54550000","15","1","11","14061093","21","11670062","27","1","1"
"TPDV,108,建,167,20230224,4","","13428418","5","17","7","5379846","6","3618904","22","1","1"
"PCDV,111,訴,1757,20230308,1","","","","7","-5","","","","","1","0"
"TPDV,111,建,279,20240226,2","","6082199","0","323","7","5878248","21","4150268","22","1","1"
"TYDV,113,建,72,20250801,2","","650","0","9","7","788800","15","295800","27","1","1"
"TYDV,111,建,68,20230406,1","","5300000","20","651","7","5300000","15","1990920","27","1","1"
"MLDV,112,訴,47,20231019,1","","27896983","5","7","-5","18000000","15","11607000","22","1","1"
"TNDV,109,建,77,20210519,1","","1572000","20","124","12","5240000","21","1851076","14","1","1"
"TCDV,107,建,117,20210618,2","","11554312","20","19","12","20799776","21","11138306","22","1","1"
"TNDV,113,建,9,20240731,1","","19000479","12","16","1","20034796","21","19000479","27","1","1"
"TCDV,107,建,26,20220412,3","","74488000","20","5","18","6970866","6","147117","27","1","1"
"TPHV,109,重上,471,20221220,1","","36472928","0","490","7","20730770","21","3052606","27","1","1"
"TPHV,107,建上,10,20230726,1","","26315963","0","95","6","46645138","21","46645138","27","0","1"
"HLDV,112,訴,118,20240410,1","","","","100","12","","","","","1","0"
"SLDV,113,建,14,20241029,1","","644035","20","1","10","6440341","6","1199840","22","1","1"
"TPSV,110,台上,2211,20211216,1","","26341465","12","6","7","5268293","15","5268293","27","0","1"
"KSDV,108,建,83,20220517,1","","1000000","5","13","12","2822400","21","2822400","27","0","1"
"TPHV,109,重上,388,20220621,2","","2174500","0","12","7","5125715","21","5125715","27","0","1"
"TPSV,110,台上,2368,20221130,1","","23716000","20","167","18","23716000","21","6759399","22","1","1"
"TNHV,111,上,264,20231227,1","","","","25","-5","","","","","1","0"
"TCDV,114,建,30,20260123,1","","1080000","15","180","13","1080000","7","1080000","19","0","1"
"KSDV,111,重訴,36,20260305,1","","21424778","-3","215","7","4284956","15","3308000","22","1","1"
"TPHV,109,上易,1344,20210511,1","","1560041","0","55","12","1560041","6","1485753","22","1","1"
"CHDV,111,建,44,20230427,1","","12500000","5","600","13","1566250","21","1566250","27","0","1"
"TNDV,109,重訴,359,20240614,1","","48654000","0","","","539288","21","539288","27","0","1"
"TNDV,109,重訴,359,20240614,3","","48654000","0","","","539288","21","539288","27","0","1"
"TPDV,109,建,191,20230206,1","","126764000","5","29","7","25352800","15","6036381","27","1","1"
"TPDV,110,建,249,20231229,1","","7309997","20","30","7","13550","21","6836","22","1","1"
"TPHV,112,建上,45,20250326,1","","5760426","0","164","7","22960000","21","5472405","22","1","1"
"SLDV,110,建,7,20260126,2","","","","","","4270035","6","127989","22","1","1"
"TCHV,108,建上,74,20211110,1","","43550000","20","10","13","439577440","21","31422184","22","1","1"
"TPDV,109,建,369,20211230,2","","","","50","12","6310000","21","3312750","22","1","1"
"KLDV,111,建,7,20231109,3","","3084000","0","","","18504000","21","18504000","27","0","1"
"PTDV,111,建,12,20240606,2","","7898660","12","24","7","8771335","21","7898660","27","1","1"
"TCDV,108,簡上,399,20210319,1","","527500","20","29","7","527500","15","297500","27","1","1"
"TPDV,111,建,175,20230531,1","","1036669","20","30","13","1036669","21","241723","22","1","1"
"TPHV,111,建上,29,20230919,1","","35218463","0","43","7","1290660","15","1290660","27","0","1"
"PCDV,111,訴,1836,20231031,2","","19575200","20","99","12","18495750","15","3445750","27","1","1"
"TCHV,110,建上,15,20241227,1","","83943327","12","30","13","2518300","15","284000","27","1","1"
"TPHV,107,建上,9,20220316,3","","9856221","0","14","7","21702020","21","21702020","27","0","1"
"TPDV,110,建,51,20220331,3","","39688880","12","45","6","6175483","21","6175483","19","0","1"
"CTDV,108,建,22,20230501,2","","20900000","20","5","12","2162129","21","2162129","27","0","1"
"TYDV,109,建,50,20220318,1","","4805524","20","49","12","1334746","21","706413","27","1","1"
"TNDV,111,建,40,20221104,1","","3379227","12","8","13","3379227","21","3379227","19","0","1"
"KSDV,111,建,34,20230420,1","","9000","12","31","7","9000","15","2510","27","1","1"
"TPDV,110,建,185,20230912,1","","","","3","-1","3470000","15","2949500","27","1","1"
"NTDV,112,訴,395,20241112,2","","2432300","20","8","12","2335004","15","121615","27","1","1"
"TCDV,110,建,114,20250424,1","","1537665","0","27","7","1665000","15","1614549","22","1","1"
"MLDV,109,建,12,20210324,1","","13645000","5","8","7","5481000","6","203960","27","1","1"
"TPHV,111,上易,1295,20240312,1","","4300000","0","1","10","60300000","21","60300000","27","0","1"
"TPDV,114,建,4,20250331,1","","765000","20","7","7","585000","21","377000","22","1","1"
"TCHV,109,重上更一,41,20210127,1","","10710000","12","22","-5","29000000","21","29000000","22","0","1"
"TPHV,107,重上,648,20230809,1","","2179200","12","14","7","2179200","21","969600","22","1","1"
"TPDV,112,建,80,20250613,1","","3370000","20","22","7","2573764","6","2570003","22","1","1"
"PCDV,108,建,90,20251231,1","","1800000","12","30","13","1800000","21","1800000","27","0","1"
"TNHV,110,建上,12,20220517,1","","29530000","12","","","381101","15","341717","22","1","1"
"TPSV,111,台上,2443,20221102,1","","","","60","12","","","","","1","0"
"TPSV,111,台上,2692,20221207,1","","2174500","12","18","1","2169215","21","1314286","19","1","1"
"TTDV,110,建,4,20221209,1","","750000","5","10","7","750000","21","750000","19","0","1"
"TCHV,111,建上,64,20230215,1","","18115352","0","120","18","15445146","21","15445146","22","0","1"
"TPDV,109,建,253,20230531,1","","118400","15","335","7","388500","21","388500","27","0","1"
"TCDV,112,訴,755,20230626,1","","5659794","20","7","12","5659794","21","254670","27","1","1"
"KSHV,110,建上更一,9,20231011,1","","67672034","12","75","12","5144562","21","5144562","22","0","1"
"TPHV,108,建上,69,20210113,1","","1856025","0","25","13","247740","21","4000","27","1","1"
"TPDV,108,建,425,20210409,2","","18240981","20","28","7","1732895","21","1155733","27","1","1"
"PTDV,108,建,27,20210507,1","","10400000","20","29","7","10400000","21","4160000","22","1","1"
"TCHV,110,建上,51,20240220,1","","20118289","12","285","12","20118289","21","7912959","27","1","1"
"KSHV,112,建上,18,20240327,1","","20900000","20","60","12","2162129","21","2020520","27","1","1"
"CYDV,112,建,9,20250429,1","","1290433","15","720","6","1532521","15","835738","27","1","1"
"TCHV,114,上易,15,20250416,1","","","","18","-5","","","","","1","0"
"MLDV,109,建,11,20210524,1","","2750000","15","9","12","593400","6","593400","22","0","1"
"TPHV,110,建上,34,20211214,1","","","","26","7","1495579","6","","","1","0"
"TPHV,109,建上,34,20220429,1","","77604481","5","300","18","77604481","15","50085785","27","1","1"
"TYDV,111,建,95,20240126,1","","184600000","5","12","13","62777932","21","61931499","19","1","1"
"ULDV,112,訴,228,20240606,2","","731636","0","199","12","533339","21","528054","27","1","1"
"TPDV,112,建,203,20240719,1","","34900000","20","82","12","20404852","21","3490000","27","1","1"
"TPDV,113,建,44,20241108,1","","4461000","7","217","12","4461000","21","3450001","27","1","1"
"TPHV,111,重上,846,20250723,2","","89000000","15","334","1","89000000","6","36867640","22","1","1"
"TNDV,110,重訴,176,20220729,1","","","","5","1","","","","","1","0"
"TCHV,112,建上,6,20240925,1","","30370000","12","","","25973078","21","25973078","27","0","1"
"CHDV,111,建,38,20250605,1","","5260800","12","565","7","10000000","21","5260800","22","1","1"
"HLDV,113,建,9,20251128,2","","13775000","15","","","2900000","21","2900000","27","0","1"
"TCDV,110,建,79,20221014,1","","5287900","20","148","12","2870000","21","2870000","27","0","1"
"CHDV,112,訴,689,20231121,1","","1060000","20","22","13","729120","21","","","1","0"
"TCDV,111,建,155,20240722,2","","850500","12","31","1","850500","21","568620","27","1","1"
"TYDV,113,建,98,20241129,1","","50720000","20","6","7","5720000","21","5720000","27","0","1"
"TCDV,112,建,92,20251017,2","","10500000","7","434","12","10500000","7","1150798","22","1","1"
"TPHV,110,重上更三,144,20220330,1","","261377777","15","319","7","17750000","6","2213138","27","1","1"
"TPHV,110,建上,41,20220517,1","","9283327","0","238","18","48831116","15","10708746","22","1","1"
"TPDV,111,建,301,20230530,1","","","","133","13","2390097","21","2390097","27","0","1"
"CHDV,111,建,35,20230607,1","","56000","0","23","7","161667","21","161667","27","0","1"
"TPSV,111,台上,638,20231229,1","","12133726","15","182","6","15585951","15","1751449","22","1","1"
"KSDV,110,建,2,20240802,1","","1208000","12","30","1","1598020","21","1598020","27","0","1"
"TPHV,112,上,868,20250624,1","","11130000","20","155","7","1592661","21","1592661","27","0","1"
"ULDV,113,建,7,20250725,1","","487287532","5","11","7","1320000","15","218","22","1","1"
"TCDV,106,建,94,20210608,2","","46858000","20","","","43899128","21","43899128","27","0","1"
"TPDV,109,建,70,20221221,2","","82000000","12","231","18","18450000","21","14640500","14","1","1"
"TPHV,109,上,251,20230815,1","","9502500","5","11","7","9502500","21","9502500","27","0","1"
"TCDV,109,建,158,20240126,3","","403499","0","120","18","403499","21","94090","27","1","1"
"TPDV,113,建,236,20250710,1","","9758700","15","31","1","3058140","21","919800","27","1","1"
"PCDV,112,訴,1388,20251127,2","","4436075","20","16","7","546167","15","546167","27","0","1"
"PTDV,107,建,16,20211126,2","","13642629","20","20","7","13642629","21","13642629","27","0","1"
"HLDV,109,建,13,20220627,1","","21681495","20","26","7","8239350","6","8239350","22","0","1"
"TPSV,112,台上,23,20240327,1","","95085041","20","28","13","70970478","15","70023740","22","1","1"
"KSDV,113,建,47,20251128,1","","16693625","12","30","13","651051","15","23976","22","1","1"
"TPHV,110,建上,40,20260224,1","","9476","12","15","7","4536447","15","4536447","27","0","1"
"TPHV,109,上,78,20211130,1","","2244863","20","330","12","2244863","21","931592","22","1","1"
"TPSV,110,台上,2052,20211230,1","","13548253","0","112","18","27096501","15","13548248","27","1","1"
"TCDV,110,建,78,20221128,1","","404000","12","1","10","463750","21","399750","27","1","1"
"CHDV,112,訴,923,20240329,1","","1020000","12","10","12","1020000","21","102000","27","1","1"
"TPDV,110,建,231,20250109,1","","60688081","5","135","6","43994818","6","7880395","22","1","1"
"HLHV,114,上易,6,20250925,1","","894000","5","28","7","245000","21","245000","27","0","1"
"TCDV,109,建,90,20211229,1","","26580000","20","26","7","2127715","21","1327715","27","1","1"
"SCDV,111,重訴,180,20230630,1","","","","23","7","6475","15","6475","22","0","1"
"TPHV,112,上,575,20230905,1","","","","22","7","11115000","21","11115000","27","0","1"
"TNHV,111,上更一,8,20231109,2","","6013813","5","636","6","3194777","6","3194777","22","0","1"
"TPDV,107,建,394,20221125,1","","3672000","20","30","13","3672000","21","3672000","27","0","1"
"PCDV,111,建,49,20231031,1","","2124740","7","588","12","24987060","21","574486","27","1","1"
"TYDV,111,建,29,20250124,1","","1261050","20","700","18","1261050","21","630750","27","1","1"
"CHDV,111,建,6,20251110,2","","23587500","20","30","7","17692929","15","9627000","27","1","1"
"TPHV,109,重上,470,20230131,1","","98122400","5","15","12","98122400","15","56439292","22","1","1"
"CTDV,110,訴,528,20230731,2","","6000000","5","26","7","5496254","21","5496254","27","0","1"
"TPHV,111,建上,58,20250826,1","","1259192","-3","","","1259192","21","1049327","27","1","1"
"TPSV,110,台上,443,20220302,1","","20900000","20","215","13","2582669","21","2582669","27","0","1"
"KSHV,108,建上,13,20220518,1","","9238190","5","8","1","1613354","21","1609282","22","1","1"
"TPDV,109,建,357,20230810,1","","2900000","20","20","13","765000","21","765000","27","0","1"
"TPDV,111,建,309,20230831,1","","5054600","20","14","13","2160000","13","778546","22","1","1"
"TCDV,112,重訴,22,20241017,1","","571600","5","25","7","571600","6","571600","22","0","1"
"TCHV,111,建上更二,47,20250708,1","","18688082","20","6","13","2363653","21","560642","27","1","1"
"TPSV,110,台上,112,20210401,1","","67672034","5","30","7","67672034","21","67672034","27","0","1"
"TPHV,108,重上,670,20210427,1","","30430342","0","103","12","18000000","21","4035027","22","1","1"
"TPSV,110,台上,2331,20211103,1","","9886039","12","212","18","9841747","15","9000000","22","1","1"
"TCDV,110,訴,473,20221230,1","","319596","20","168","7","2684605","21","2684605","27","0","1"
"CHDV,113,訴,690,20241119,1","","","","6","7","","","","","1","0"
"TTDV,112,重訴,1,20250514,1","","","","23","7","","","","","1","0"
"TPDV,106,建,34,20220707,1","","28745178","20","10","13","20000000","21","12498878","22","1","1"
"TPHV,109,重上更一,189,20230214,2","","17417090","20","220","7","3239656","21","4179","22","1","1"
"TPHV,112,建上,28,20240430,1","","","","81","1","","","","","1","0"
"NTDV,109,建,16,20240619,2","","1244693","15","7","6","6102840","21","2909252","27","1","1"
"TPHV,112,上易,593,20250226,1","","2796672","0","28","12","596672","21","596672","27","0","1"
"TPDV,113,建,191,20250213,1","","26088790","12","182","12","26088790","21","26088790","14","0","1"
"KSDV,113,建,39,20251030,2","","1278140","0","","","1278140","6","8140","22","1","1"
"TCDV,114,訴,3163,20260429,1","","12391181","20","15","12","795000","21","795000","27","0","1"
"TPHV,109,重上更一,129,20230726,2","","55863486","0","800","7","43040000","21","43040000","27","0","1"
"SCDV,112,訴,509,20230728,1","","16500000","5","7","12","728888","7","728888","22","0","1"
"TNDV,110,建,23,20230928,2","","1296000","0","60","7","4366200","21","4366200","27","0","1"
"TPDV,113,建,36,20260304,1","","5900000","20","7","-5","1804363","21","848017","27","1","1"
"TPDV,110,建,285,20230217,1","","3940000","15","207","12","1182000","21","517500","27","1","1"
"TYDV,111,建,147,20231012,1","","1449149","20","152","12","1449149","21","7351","14","1","1"
"TPDV,112,重訴,453,20231227,1","","","","26","7","100000","21","100000","27","0","1"
"TCDV,113,簡上,64,20250725,1","","","","27","7","153300","6","153300","22","0","1"
"SLDV,114,訴,803,20251106,1","","244272","20","188","-5","104688","21","104688","27","0","1"
"SCDV,108,建,23,20211224,1","","3948923","20","100","7","198600","21","8429","27","1","1"
"ILDV,112,訴,63,20231018,1","","715220","0","863","7","2550000","21","2550000","27","0","1"
"TYDV,111,建,92,20240131,1","","1700000","20","25","7","488305","21","270003","22","1","1"
"TCDV,109,建,81,20210521,1","","2876662","0","47","12","2733084","6","105207","22","1","1"
"TPHV,108,重上更一,67,20220308,1","","","","","","8627406","15","924400","22","1","1"
"TPDV,110,建,226,20220609,1","","94909857","0","187","6","33145987","21","30522905","27","1","1"
"ULDV,111,建,6,20230303,1","","","","","","3443140","21","3443140","19","0","1"
"SCDV,111,訴,917,20230324,1","","","","31","1","815796","15","35000","27","1","1"
"TPSV,110,台上,690,20230816,1","","48213083","20","26","13","91967130","21","88515000","27","1","1"
"TPHV,107,建上,61,20231229,1","","7356048","0","20","1","29543785","6","4408753","22","1","1"
"SLDV,109,建,30,20240318,2","","45943119","0","","","3507856","15","1412212","27","1","1"
"TPHV,113,上,1175,20250422,1","","2598000","20","682","7","2758866","15","509345","27","1","1"
"TPSV,114,台上,675,20250611,1","","28470009","12","16","13","20812835","21","","","1","0"
"TPHV,112,建上,10,20250617,1","","9594000","12","540","18","9594000","21","7486347","22","1","1"
"KSDV,113,訴,238,20260302,4","","2455330","20","1","10","2450533","13","175613","22","1","1"
"TPDV,108,建,194,20210617,2","","15231036","20","31","1","4887242","21","4887242","27","0","1"
"KSDV,110,建,25,20211123,1","","3950000","-3","75","7","3950000","21","1000000","27","1","1"
"TYDV,109,建,116,20230922,2","","","","301","7","1719500","21","1719500","27","0","1"
"KLDV,112,建,18,20240723,3","","4648000","-3","","","1248000","21","1203534","14","1","1"
"TPHV,113,上易,829,20250514,1","","3070000","20","30","7","635735","21","177735","22","1","1"
"TYDV,109,建,74,20220630,2","","22000","-8","27","1","267257","21","222000","22","1","1"
"TPSV,112,台上,652,20230928,1","","3087500","20","5","-5","26305963","6","3087500","27","1","1"
"KMDV,112,建,1,20231214,2","","1187800","20","666","12","237560","7","110878","27","1","1"
"TPDV,112,建,69,20240712,2","","11129738","5","42","12","2058600","21","2058600","27","0","1"
"TYDV,113,訴,794,20251231,2","","573486","0","338","12","432000","6","432000","22","0","1"
"KSHV,111,建上,24,20230614,1","","","","29","7","","","","","1","0"
"TPHV,110,建上,49,20231128,1","","72309728","0","29","7","28000944","15","27828778","22","1","1"
"TPHV,111,建上更二,14,20240628,2","","49151340","5","100","12","4054986","15","4054986","27","0","1"
"TCDV,111,建,88,20240621,2","","108465000","5","121","13","226227000","21","15176794","22","1","1"
"TPHV,109,建上,78,20241112,1","","454070","0","45","13","361620","21","361620","27","0","1"
"HLHV,113,上,18,20250122,1","","","","100","7","1188000","15","","","1","0"
"SLDV,113,建,47,20251211,1","","3141480","20","150","7","3141480","21","3141480","27","0","1"
"CTDV,109,建,7,20210118,1","","662000","0","34","12","981091","15","662000","27","1","1"
"TPSV,111,台上,311,20220407,1","","4644252","0","406","6","2994776","21","2994776","27","0","1"
"TPSV,111,台上,715,20220602,1","","49151340","20","174","18","49151340","21","49151340","27","0","1"
"TCHV,109,建上,48,20221228,1","","28200000","20","330","7","1085784","15","1085784","27","0","1"
"TPSV,112,台上,869,20230524,1","","4933355","0","23","6","59207232","21","59207232","27","0","1"
"SLDV,111,建,32,20240320,1","","5240000","0","21","13","17800000","21","17800000","27","0","1"
"TPHV,113,建上更一,8,20250218,1","","19717710","20","25","7","582134","21","2712","27","1","1"
"PTDV,111,訴,66,20221027,1","","","","","","5658000","15","375638","22","1","1"
"PCDV,111,訴,1541,20230217,1","","","","","","","","","","1","0"
"TNHV,111,建上更二,5,20230411,1","","4644252","0","14","7","4644252","21","3183710","22","1","1"
"ILDV,109,建,1,20240530,2","","31000000","15","377","7","42687000","15","42687000","27","0","1"
"PCDV,114,重訴,175,20260130,1","","680960000","5","472","18","38331262","21","31957048","22","1","1"
"TYDV,111,建,10,20230109,1","","","","389","7","27106110","6","27106110","14","0","1"
"KSHV,112,建上,17,20231219,1","","12075000","15","122","18","1899863","6","1818147","14","1","1"
"TPDV,109,建,316,20210112,1","","15506028","20","11","7","3800000","21","3800000","27","0","1"
"TPHV,109,上易,1459,20220316,1","","2414000","20","719","12","482800","21","72139","22","1","1"
"TCHV,110,建上,4,20230816,1","","2112000","5","10","12","96521","21","96521","22","0","1"
"KSDV,111,訴,1227,20250826,1","","","","","","2023947","13","243947","27","1","1"
"TCDV,113,建,59,20251017,1","","10143000","20","53","7","1075158","21","581348","22","1","1"
"TPSV,110,台上,2933,20211222,1","","4124075","0","70","18","4232075","21","2043006","27","1","1"
"CHDV,108,建,5,20220831,1","","1740800","20","4","13","1250000","6","1190984","22","1","1"
"TCDV,109,建,63,20221124,1","","34730057","12","3","4","34375745","21","12000000","27","1","1"
"TCHV,111,建上,86,20240417,1","","21780000","5","263","7","28042553","21","28042553","27","0","1"
"TPHV,109,重上,965,20220601,1","","57770453","0","22","7","25100684","21","23414088","22","1","1"
"TPDV,110,建,234,20230202,1","","212400","5","29","13","2181348","21","1219132","27","1","1"
"SCDV,107,建,73,20230630,1","","6891500","20","66","12","6546273","21","640853","22","1","1"
"SCDV,107,建,73,20230630,2","","6891500","20","66","12","6546273","21","640853","22","1","1"
"TYDV,112,建,43,20250507,1","","1900000","20","49","18","1512100","21","1512100","27","0","1"
"TYDV,113,訴,1648,20251230,1","","","","17","7","21300000","21","21300000","27","0","1"
"TCDV,110,建,65,20221201,1","","27588969","20","","","10401356","21","10401356","27","0","1"
